"Station Id",,"Avg. Test Fees","Station Name",Address,City,ZIP,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
339,,$35,"AIR VIEW SERVICE","1646 So 1100 E","SALT LAKE CITY",84105,40.733774,-111.859997,1,rooftop,1646,"S 1100 E","Salt Lake City",UT,"Salt Lake County",84105,US,"Utah AGRC (and individual UT counties)"
362,,$35,"B & R TIRE","2950 SOUTH 300 WEST","SALT LAKE CITY",84115,40.70654,-111.90001,1,rooftop,2950,"S 300 W","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
371,,$38,"KEARNS AUTO CENTER INC","4219 WEST 5415 SOUTH",KEARNS,84118,40.652479,-111.991277,1,rooftop,4219,"W 5415 S","Salt Lake City",UT,"Salt Lake County",84118,US,"Utah AGRC (and individual UT counties)"
372,,$33,"PLOWGIAN AUTO REPAIR","1357 EAST 3300 SOUTH","SALT LAKE CITY",84106,40.700144,-111.852323,1,rooftop,1357,"E 3300 S","Salt Lake City",UT,"Salt Lake County",84106,US,"Utah AGRC (and individual UT counties)"
383,,$33,"LARRY H. MILLER CHRYSLER","10905 SOUTH AUTOMALL DR",SANDY,84070,40.55322,-111.893946,1,rooftop,10905,"S Automall Dr",Sandy,UT,"Salt Lake County",84070,US,"Utah AGRC (and individual UT counties)"
389,,$39,"COLBY'S TIRE","909 W SOUTH TEMPLE","SALT LAKE CITY",84104,40.769184,-111.91702,1,range_interpolation,909,"W South Temple","Salt Lake City",UT,"Salt Lake County",84104,US,"TIGER/Line® dataset from the US Census Bureau"
426,,$34,"TIRE WORLD","2627 SOUTH 300 WEST","SALT LAKE CITY",84115,40.714323,-111.899372,1,rooftop,2627,"S 300 W","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
448,,$35,"MILLERS FOREIGN CAR","60 E HARVARD AVE","SALT LAKE CITY",84111,40.744713,-111.889206,1,rooftop,60,"E Harvard Ave","Salt Lake City",UT,"Salt Lake County",84111,US,"Utah AGRC (and individual UT counties)"
456,,$41,"SPEEDWAY EMISSION","8131 So. REDWOOD RD.","WEST JORDAN",84088,40.587629,-111.98342,0.33,place,,,"West Jordan",UT,"Salt Lake County",84088,US,"TIGER/Line® dataset from the US Census Bureau"
459,,$33,"JERRY SEINER BUICK GMC","10487 So. JORDAN GATEWAY (400 W.)","SOUTH JORDAN",84095,40.554098,-111.953891,0.33,place,,,"South Jordan",UT,"Salt Lake County",84095,US,"TIGER/Line® dataset from the US Census Bureau"
462,,$34,"MIKE HALE ACURA","5601 S STATE ST",MURRAY,84107,40.648624,-111.887846,1,rooftop,5601,"S State St","Salt Lake City",UT,"Salt Lake County",84107,US,"Utah AGRC (and individual UT counties)"
466,,$30,"PRO REPAIR AND SERVICE","4815 SOUTH 300 WEST",MURRAY,84107,40.667074,-111.89941,1,range_interpolation,4815,"S 300 W","Salt Lake City",UT,"Salt Lake County",84107,US,"TIGER/Line® dataset from the US Census Bureau"
493,,$36,"PRECISION AUTOMOTIVE","6955 SOUTH 400 WEST",MIDVALE,84047,40.625079,-111.900903,1,rooftop,6955,"S 400 W",Midvale,UT,"Salt Lake County",84047,US,"Utah AGRC (and individual UT counties)"
495,,$35,"JODY WILKINSON ACURA","1111 So. MAIN ST.","SALT LAKE CITY",84111,40.755596,-111.883718,0.33,place,,,"Salt Lake City",UT,"Salt Lake County",84111,US,"TIGER/Line® dataset from the US Census Bureau"
512,,$40,"MASTER TECH AUTOMOTIVE","1717 SOUTH STATE","SALT LAKE CITY",84115,40.733042,-111.887531,1,rooftop,1717,"S State St","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
525,,$25,"TRI AUTO REPAIR","56 E. FIRECLAY (4295 So.)",MURRAY,84107,40.677855,-111.889807,1,rooftop,56,"E Fireclay Ave","Salt Lake City",UT,"Salt Lake County",84107,US,"Utah AGRC (and individual UT counties)"
527,,$39,"THIRD AVE. CAR CLINIC","3RD AVE. N STREET","SALT LAKE CITY",84103,40.778841,-111.899529,0.9,street_center,,"N 3rd W","Salt Lake City",UT,"Salt Lake County",84103,US,"TIGER/Line® dataset from the US Census Bureau"
537,,$32,"JEFFREY P. DAVIS AUTO","4707 SO COMMERCE DR",MURRAY,84107,40.666892,-111.887991,0.3,place,,,Murray,UT,"Salt Lake County",84107,US,"TIGER/Line® dataset from the US Census Bureau"
546,,$35,"MASTER MUFFLER","1595 WEST 7800 SOUTH","WEST JORDAN",84088,40.608418,-111.935819,1,rooftop,1595,"W 7800 S","West Jordan",UT,"Salt Lake County",84088,US,"Utah AGRC (and individual UT counties)"
555,,$45,"YOUNG BROTHERS","918 E. SOUTH UNION BLVD. (7220 So.)",MIDVALE,84047,40.619863,-111.865652,1,range_interpolation,918,"E South Union Ave",Midvale,UT,"Salt Lake County",84047,US,"TIGER/Line® dataset from the US Census Bureau"
561,,$25,"MASTER MUFFLER","9235 SOUTH 700 EAST",SANDY,84070,40.584157,-111.871833,1,rooftop,9235,"S 700 E",Sandy,UT,"Salt Lake County",84070,US,"Utah AGRC (and individual UT counties)"
574,,$30,"BT AUTOMOTIVE #574","7951 So. STATE ST",MIDVALE,84047,40.61106,-111.89994,0.33,place,,,Midvale,UT,"Salt Lake County",84047,US,"TIGER/Line® dataset from the US Census Bureau"
580,,$36,"MARK MILLER SUBARU","3535 SO STATE ST","SALT LAKE CITY",84115,40.714496,-111.893118,0.33,place,,,"Salt Lake City",UT,"Salt Lake County",84115,US,"TIGER/Line® dataset from the US Census Bureau"
608,,$51,"TIM DAHLE IMPORTS","4528 SOUTH STATE",MURRAY,84107,40.672846,-111.889103,1,rooftop,4528,"S State St","Salt Lake City",UT,"Salt Lake County",84107,US,"Utah AGRC (and individual UT counties)"
613,,$36,"LANCER AUTOMOTIVE INC.","3687 SOUTH 300 WEST","SALT LAKE CITY",84115,40.690919,-111.899212,1,rooftop,3687,"S 300 W","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
622,,$26,"KEN GARFF VOLVO/JAG/FIAT","150 E 500 S","SALT LAKE CITY",84111,40.758075,-111.887017,1,rooftop,150,"E 500 S","Salt Lake City",UT,"Salt Lake County",84111,US,"Utah AGRC (and individual UT counties)"
648,,$30,"PURCELL TIRE COMPANY","2910 W. 2100 So.","West Valley ",84119,40.727724,-111.966708,1,range_interpolation,2910,"W 2100 S","Salt Lake City",UT,"Salt Lake County",84119,US,"TIGER/Line® dataset from the US Census Bureau"
650,,$26,"MARK MILLER TOYOTA","730 SO WEST TEMPLE","SALT LAKE CITY",84101,40.756095,-111.900719,0.33,place,,,"Salt Lake City",UT,"Salt Lake County",84101,US,"TIGER/Line® dataset from the US Census Bureau"
658,,$41,"YOCUM AUTO REPAIR","9326 SOUTH 300 WEST",SANDY,84070,40.582084,-111.901321,1,rooftop,9326,"S 300 W",Sandy,UT,"Salt Lake County",84070,US,"Utah AGRC (and individual UT counties)"
665,,$33,"MASTER MUFFLER","3865 SOUTH STATE","SALT LAKE CITY",84115,40.687886,-111.887983,1,rooftop,3865,"S State St","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
668,,$39,"LARRY H. MILLER LEXUS","5686 SO STATE ST",MURRAY,84107,40.666892,-111.887991,0.3,place,,,Murray,UT,"Salt Lake County",84107,US,"TIGER/Line® dataset from the US Census Bureau"
